公司,年月,股東權益總額,當季季底P/E,季底普通股市值,TEJ主產業代碼
2383 台光電,2020/12/31,"16,755,509",10.79,"52,268,126",23B
2385 群光,2020/12/31,"32,671,682",7.69,"63,741,452",23C
2387 精元,2020/12/31,"8,446,762",7.49,"12,739,675",23C
2388 威盛,2020/12/31,"10,574,427",4.69,"26,383,819",23G
2390 云辰,2020/12/31,"2,351,289",15.66,"3,167,511",23C
2392 正崴,2020/12/31,"30,083,888",8.2,"24,130,555",23D
2393 億光,2020/12/31,"17,938,690",12.39,"18,713,717",23C
2395 研華,2020/12/31,"35,046,423",28.79,"270,371,150",23B
2397 友通,2020/12/31,"5,033,639",12.23,"7,752,909",23B
2399 映泰,2020/12/31,"2,149,432",36.11,"3,072,225",23B
2401 凌陽,2020/12/31,"10,019,001",16.56,"10,833,490",23G
2402 毅嘉,2020/12/31,"5,703,484",42.78,"5,689,416",23B
2404 漢唐,2020/12/31,"10,151,518",8.59,"41,166,576",23H
2405 浩鑫,2020/12/31,"3,398,052",52.88,"4,533,236",23A
2406 國碩,2020/12/31,"5,858,681",,"6,189,843",23C
2408 南亞科,2020/12/31,"153,812,027",29.86,"268,633,327",23G
2409 友達,2020/12/31,"193,790,365",47.9,"134,739,430",23C
2412 中華電,2020/12/31,"389,258,457",19.7,"845,561,614",23K
2413 環科,2020/12/31,"1,589,361",,"3,190,343",23D
2414 精技,2020/12/31,"3,238,542",8.82,"4,156,590",23T
2415 錩新,2020/12/31,"2,080,241",18.06,"2,168,000",23U
2417 圓剛,2020/12/31,"5,719,177",5.2,"9,634,955",23B
2419 仲琦,2020/12/31,"5,582,887",16.99,"8,043,708",23E
2420 新巨,2020/12/31,"3,251,623",9.34,"5,190,032",23D
2421 建準,2020/12/31,"4,594,129",11.5,"13,499,980",23D
2423 固緯,2020/12/31,"2,326,668",12.88,"3,488,380",23H
2424 隴華,2020/12/31,"129,127",,"493,142",23K
2425 承啟,2020/12/31,"1,933,668",16.09,"2,984,041",23B
2426 鼎元,2020/12/31,"3,946,162",38.99,"5,200,761",23C
2427 三商電,2020/12/31,"2,222,870",14.58,"2,165,690",23X
2428 興勤,2020/12/31,"7,444,787",10.96,"20,497,920",23D
2429 銘旺科,2020/12/31,"314,872",,"834,708",23C
2430 燦坤,2020/12/31,"4,786,957",8.54,"3,346,007",23T
2431 聯昌,2020/12/31,"1,376,748",176.23,"1,364,402",23D
2433 互盛電,2020/12/31,"4,821,828",10.79,"7,441,544",23T
2434 統懋,2020/12/31,"335,884",,"726,300",23D
2436 偉詮電,2020/12/31,"3,187,255",53.25,"8,838,147",23G
2438 翔耀,2020/12/31,"823,324",20.23,"635,084",23C
2439 美律,2020/12/31,"12,270,743",19.13,"30,788,733",23U
2440 太空梭,2020/12/31,"1,257,787",13.59,"1,961,550",23D
2441 超豐,2020/12/31,"17,996,719",9.76,"31,855,320",23G
2442 新美齊,2020/12/31,"3,957,910",37.5,"2,760,679",25A
2443 億麗,2020/12/31,"515,245",,"442,888",11C
2444 兆勁,2020/12/31,"863,289",,"1,477,798",23E
2449 京元電子,2020/12/31,"29,326,076",9.02,"42,490,389",23G
2450 神腦,2020/12/31,"5,927,120",17.75,"9,167,946",23T
2451 創見,2020/12/31,"18,672,026",20.82,"27,888,965",23G
